R	wes2015_uniq_distanceGoogleNews_results_ordered.tsv	4311	Gaius Marius_**_http://dbpedia.org/resource/Gaius_Marius	Noble	0.438226509	PrimeMinister	0.3901367091	GivenName	0.3519355653	Name	0.3519355653	Stadium	0.3411523628	Cyclist	0.3202740977	ReligiousBuilding	0.3111595578	ChristianBishop	0.3042392591	Astronaut	0.3003164951	Royalty	0.2968549511		GOLD_STANDARD:	Agent	Person	Politician			
	neel2015_uniq_distanceGoogleNews_results_ordered.tsv	1775	Vicky Coren_**_http://dbpedia.org/resource/Victoria_Coren_Mitchell	Chef	0.5114559022	Comedian	0.4012509597	BeautyQueen	0.3800909534	Cleric	0.3500243015	Saint	0.3500243015	Astronaut	0.3418613338	SoapCharacter	0.3346863927	RugbyPlayer	0.3334886474	Cyclist	0.3223518395	Royalty	0.3172794242		GOLD_STANDARD:	Agent	Person	Athlete	PokerPlayer		
	neel2015_uniq_distanceGoogleNews_results_ordered.tsv	650	Al Sharpton_**_http://dbpedia.org/resource/Al_Sharpton	Governor	0.3895692637	Congressman	0.3329299769	MartialArtist	0.312806687	Economist	0.2934573432	SoapCharacter	0.285434207	Chef	0.2851576084	Restaurant	0.2832782851	AustralianRulesFootballPlayer	0.2712817344	Mountain	0.2665901736	CollegeCoach	0.2528780959		GOLD_STANDARD:	Agent					
R	AIDA-YAGO2_entities_and_links_uniq_dbpedia_distanceGoogleNews_results_ordered.tsv	6518	Pembroke_**_http://dbpedia.org/resource/Pembroke,_Massachusetts	Saint	0.3569986263	Jockey	0.3186911174	Village	0.2948528014	CricketTeam	0.2851078872	GolfCourse	0.2776602717	Judge	0.2747199922	Park	0.2719964839	HorseRace	0.2707158251	Currency	0.2644458532	Journalist	0.242404794		GOLD_STANDARD:	Place	PopulatedPlace	Settlement	Town		
C	AIDA-YAGO2_entities_and_links_uniq_dbpedia_distanceGoogleNews_results_ordered.tsv	3379	Darren Jackson_**_http://dbpedia.org/resource/Darren_Jackson	Pope	0.4396353929	Jockey	0.4307111408	Scientist	0.4233571982	GolfPlayer	0.4122395552	Judge	0.4113217714	Governor	0.4093206643	MusicalArtist	0.4007126379	Swimmer	0.3994660461	BaseballPlayer	0.3946780526	Artist	0.3941694576		GOLD_STANDARD:	Agent	Person	Athlete	SoccerPlayer		
C	AIDA-YAGO2_entities_and_links_uniq_dbpedia_distanceGoogleNews_results_ordered.tsv	2758	Jason Rouser_**_http://dbpedia.org/resource/Jason_Rouser	Judge	0.4605880367	Journalist	0.3943150185	GivenName	0.3880774857	Name	0.3880774857	Scientist	0.381667232	Swimmer	0.3772500007	GridironFootballPlayer	0.3718926932	AmericanFootballPlayer	0.3718926932	BaseballPlayer	0.3700135336	Governor	0.366279905		GOLD_STANDARD:	Agent	Person	Athlete			
C	wes2015_uniq_distanceGoogleNews_results_ordered.tsv	804	Kazan_**_http://dbpedia.org/resource/Kazan	Stadium	0.2566907967	Boxer	0.2432190658	Theatre	0.2403582543	Sea	0.214002648	Monarch	0.1906659692	Airport	0.1903000348	SportFacility	0.181513147	Pope	0.1783425117	Language	0.1730322844	Game	0.1718097175		GOLD_STANDARD:	Place	PopulatedPlace	Settlement			
W	wes2015_uniq_distanceGoogleNews_results_ordered.tsv	4588	car accidents_**_http://dbpedia.org/resource/Traffic_collision	Train	0.2729623804	Fish	0.2056089616	TelevisionEpisode	0.2031080175	Governor	0.1953440592	Rocket	0.1834868965	Weapon	0.1635804535	Aircraft	0.1626127043	Insect	0.1583890945	ProtectedArea	0.1569850234	Artery	0.1499373601		GOLD_STANDARD:	Disease					
R	wikinews_uniq_distanceGoogleNews_results_ordered.tsv	691	No. 1 U.S. music seller_**_http://dbpedia.org/resource/ITunes_Store	Currency	0.3612259344	Band	0.323059003	Group	0.323059003	Building	0.3090328938	Planet	0.2792498738	CelestialBody	0.2792498738	Bank	0.2536182985	InformationAppliance	0.2467631028	Device	0.2467631028	Country	0.241075026		GOLD_STANDARD:	Agent	Organisation				
	AIDA-YAGO2_entities_and_links_uniq_dbpedia_distanceGoogleNews_results_ordered.tsv	2393	CITIC Pacific_**_http://dbpedia.org/resource/CITIC_Pacific	MountainRange	0.2687471679	Bank	0.2451222025	TopicalConcept	0.2447090254	Genre	0.2447090254	Mountain	0.2380265943	Island	0.2362849738	HistoricPlace	0.2340397211	Continent	0.2314947174	RadioStation	0.2312623812	PublicTransitSystem	0.2268341079		GOLD_STANDARD:	Agent	Organisation	Company			
