Guinea	NIL
CONAKRY	http://dbpedia.org/resource/Conakry
West African	NIL
Guinea	NIL
Guinea	NIL
Guinea	NIL
Lansana Conte	http://dbpedia.org/resource/Lansana_Conté
Organisation of the Islamic Conference	http://dbpedia.org/resource/Organisation_of_the_Islamic_Conference
Kuwait	http://dbpedia.org/resource/Kuwait
OIC	http://dbpedia.org/resource/Organisation_of_the_Islamic_Conference
Pakistan	http://dbpedia.org/resource/Pakistan
Koranic	http://dbpedia.org/resource/Qur'an
Badi-Tondon	NIL
Conakry	http://dbpedia.org/resource/Conakry
Conte	NIL
Conte	NIL
Marxist	http://dbpedia.org/resource/Marxism
Ahmed Sekou Toure	http://dbpedia.org/resource/Ahmed_Sékou_Touré
Albania	http://dbpedia.org/resource/Albania
Vatican	http://dbpedia.org/resource/Vatican_Library
TIRANA	http://dbpedia.org/resource/Tirana
Albanian	http://dbpedia.org/resource/Albanian_language
Vatican	http://dbpedia.org/resource/Vatican_Library
Albanian	http://dbpedia.org/resource/Albania
Gazeta Shqiptare	NIL
Book of Mass	NIL
Gjon Buzuku	http://dbpedia.org/resource/Gjon_Buzuku
Rome	http://dbpedia.org/resource/Rome
Albanian	http://dbpedia.org/resource/Albanian_language
Albanians	http://dbpedia.org/resource/Albanians
Buzuku	http://dbpedia.org/resource/Gjon_Buzuku
Musa Hamiti	NIL
Vatican	http://dbpedia.org/resource/Vatican_Library
Tirana	http://dbpedia.org/resource/Tirana
Book of Mass	NIL
Gazeta Shqiptare	NIL
Croatia	http://dbpedia.org/resource/Croatia
ZAGREB	http://dbpedia.org/resource/Zagreb
Serb	http://dbpedia.org/resource/Serbia
Croatia	http://dbpedia.org/resource/Croatia
Hina	NIL
HINA	http://dbpedia.org/resource/HINA
Karin Gornji	NIL
Zadar	http://dbpedia.org/resource/Zadar
Zadar	http://dbpedia.org/resource/Zadar
HINA	http://dbpedia.org/resource/HINA
Zadar	http://dbpedia.org/resource/Zadar
Serbs	http://dbpedia.org/resource/Serbs
Croatia	http://dbpedia.org/resource/Croatia
Yugoslav	http://dbpedia.org/resource/Yugoslavia
Krajina	http://dbpedia.org/resource/Republic_of_Serbian_Krajina
Serbs	http://dbpedia.org/resource/Serbs
Croatian	http://dbpedia.org/resource/Croatia
Serbs	http://dbpedia.org/resource/Serbs
Bosnia	http://dbpedia.org/resource/Bosnia
Yugoslavia	http://dbpedia.org/resource/Yugoslavia
Krajina	http://dbpedia.org/resource/Republic_of_Serbian_Krajina
Arkansas	http://dbpedia.org/resource/Arkansas
Steve Barnes	NIL
LITTLE ROCK	http://dbpedia.org/resource/Little_Rock,_Arkansas
Ark	NIL
Arkansas	http://dbpedia.org/resource/Arkansas
Mississippi	http://dbpedia.org/resource/Mississippi_River
Arkansas	http://dbpedia.org/resource/Arkansas
Little Rock	http://dbpedia.org/resource/Little_Rock,_Arkansas
Wayne Jordan	NIL
Arkansas State Police	http://dbpedia.org/resource/Arkansas_State_Police
F.B.I.	http://dbpedia.org/resource/Federal_Bureau_of_Investigation
Bureau of Alcohol, Tobacco and Firearms	NIL
Jordan	NIL
Mount Zion Missionary Baptist Church	NIL
St. Matthews Missionary Baptist Church	NIL
Turner	NIL
Arkansas	http://dbpedia.org/resource/Arkansas
Arkansas	http://dbpedia.org/resource/Arkansas
Fannie Johnson	NIL
St. Matthew's	NIL
Jerome Turner	NIL
Mount Zion Missionary Baptist Church	NIL
Arkansas	http://dbpedia.org/resource/Arkansas
Camden	http://dbpedia.org/resource/Camden,_Arkansas
Arkansas	http://dbpedia.org/resource/Arkansas
Little Rock	http://dbpedia.org/resource/Little_Rock,_Arkansas
Argentine	http://dbpedia.org/resource/Argentina
BUENOS AIRES	http://dbpedia.org/resource/Buenos_Aires
Argentina	http://dbpedia.org/resource/Argentina
Buenos Aires	http://dbpedia.org/resource/Buenos_Aires
Argentina	http://dbpedia.org/resource/Argentina
Ten Commandments	http://dbpedia.org/resource/Ten_Commandments
Antonio Quarracino	http://dbpedia.org/resource/Antonio_Quarracino
Ten Commandments	http://dbpedia.org/resource/Ten_Commandments
Argentina	http://dbpedia.org/resource/Argentina
Roman Catholic	http://dbpedia.org/resource/Catholic_Church
Biblical	http://dbpedia.org/resource/Bible
Quarracino	http://dbpedia.org/resource/Antonio_Quarracino
S. Korea	http://dbpedia.org/resource/South_Korea
China-bound	NIL
BEIJING	http://dbpedia.org/resource/Beijing
Beijing	http://dbpedia.org/resource/People's_Republic_of_China
Seoul	http://dbpedia.org/resource/Seoul
South Korean	http://dbpedia.org/resource/South_Korea
China	http://dbpedia.org/resource/People's_Republic_of_China
South Korean	http://dbpedia.org/resource/South_Korea
South Korean	http://dbpedia.org/resource/South_Korea
Lee Ki-choo	NIL
Chinese	http://dbpedia.org/resource/People's_Republic_of_China
Tang Jiaxuan	http://dbpedia.org/resource/Tang_Jiaxuan
China	http://dbpedia.org/resource/People's_Republic_of_China
China	http://dbpedia.org/resource/People's_Republic_of_China
Brazil	http://dbpedia.org/resource/Brazil
BRASILIA	http://dbpedia.org/resource/Brasília
Brazil	http://dbpedia.org/resource/Brazil
Jesus	http://dbpedia.org/resource/Jesus
Brazilian	http://dbpedia.org/resource/Brazil
Brazilian	http://dbpedia.org/resource/Brazil
National Council of Christian Churches of Brazil	NIL
Coordinate of Ecumenical Service	NIL
Fernando Henrique Cardoso	http://dbpedia.org/resource/Fernando_Henrique_Cardoso
Brazil	http://dbpedia.org/resource/Brazil
Brazilian	http://dbpedia.org/resource/Brazil
Para	http://dbpedia.org/resource/Pará
Brazil	http://dbpedia.org/resource/Brazil
Lucas Moreira Neves	http://dbpedia.org/resource/Lucas_Moreira_Neves
Catholic	http://dbpedia.org/resource/Catholic_Church
National Conference of Bishops of Brazil	NIL
U.S.	http://dbpedia.org/resource/United_States
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
CHICAGO	http://dbpedia.org/resource/Chicago
Chicago	http://dbpedia.org/resource/Chicago
Joseph Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
U.S.	http://dbpedia.org/resource/United_States
Roman Catholic	http://dbpedia.org/resource/Catholic_Church
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Chicago	http://dbpedia.org/resource/Chicago
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Italian	http://dbpedia.org/resource/Italy
Chicago	http://dbpedia.org/resource/Chicago
Los Angeles	http://dbpedia.org/resource/Los_Angeles
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
AIDS	http://dbpedia.org/resource/AIDS
Bernardin	http://dbpedia.org/resource/Joseph_Bernardin
Cincinnati	http://dbpedia.org/resource/Cincinnati
U.S.	http://dbpedia.org/resource/United_States
American Catholics	NIL
Polish	http://dbpedia.org/resource/Poland
WARSAW	http://dbpedia.org/resource/Warsaw
Poland	http://dbpedia.org/resource/Poland
Aleksander Kwasniewski	http://dbpedia.org/resource/Aleksander_Kwaśniewski
John Paul	NIL
Vatican	http://dbpedia.org/resource/Vatican_City
Warsaw	http://dbpedia.org/resource/Warsaw
Kwasniewski	http://dbpedia.org/resource/Aleksander_Kwaśniewski
Italy	http://dbpedia.org/resource/Italy
Oscar Scalfaro	http://dbpedia.org/resource/Oscar_Luigi_Scalfaro
Dariusz Rosati	http://dbpedia.org/resource/Dariusz_Rosati
Rosati	http://dbpedia.org/resource/Dariusz_Rosati
Warsaw	http://dbpedia.org/resource/Warsaw
Vatican	http://dbpedia.org/resource/Vatican_City
Democratic Left Alliance	http://dbpedia.org/resource/Democratic_Left_Alliance
Catholic Church	http://dbpedia.org/resource/Catholic_Church
Poland	http://dbpedia.org/resource/Poland
Vatican	http://dbpedia.org/resource/Vatican_City
Poland	http://dbpedia.org/resource/Poland
Kwasniewski	http://dbpedia.org/resource/Aleksander_Kwaśniewski
Bulgaria	http://dbpedia.org/resource/Bulgaria
SOFIA	http://dbpedia.org/resource/Sofia
Bulgarian	http://dbpedia.org/resource/Bulgaria
Kazanluk	http://dbpedia.org/resource/Kazanlak
Bulgaria	http://dbpedia.org/resource/Bulgaria
Kazanluk	http://dbpedia.org/resource/Kazanlak
Moslems	http://dbpedia.org/resource/Islam
Islam	http://dbpedia.org/resource/Islam
Turkish	http://dbpedia.org/resource/Ottoman_Empire
Bulgaria	http://dbpedia.org/resource/Bulgaria
Christians	NIL
